NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,199802,fevereiro 1998
1,Brasil,2,%,0.34,1,Brasil,63,IPCA - Variação mensal,199803,março 1998
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,199804,abril 1998
1,Brasil,2,%,0.50,1,Brasil,63,IPCA - Variação mensal,199805,maio 1998
1,Brasil,2,%,0.02,1,Brasil,63,IPCA - Variação mensal,199806,junho 1998
1,Brasil,2,%,-0.12,1,Brasil,63,IPCA - Variação mensal,199807,julho 1998
1,Brasil,2,%,-0.51,1,Brasil,63,IPCA - Variação mensal,199808,agosto 1998
1,Brasil,2,%,-0.22,1,Brasil,63,IPCA - Variação mensal,199809,setembro 1998
1,Brasil,2,%,0.02,1,Brasil,63,IPCA - Variação mensal,199810,outubro 1998
1,Brasil,2,%,-0.12,1,Brasil,63,IPCA - Variação mensal,199811,novembro 1998
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,199812,dezembro 1998
1,Brasil,2,%,0.70,1,Brasil,63,IPCA - Variação mensal,199901,janeiro 1999
1,Brasil,2,%,1.05,1,Brasil,63,IPCA - Variação mensal,199902,fevereiro 1999
1,Brasil,2,%,1.10,1,Brasil,63,IPCA - Variação mensal,199903,março 1999
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,199904,abril 1999
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,199905,maio 1999
1,Brasil,2,%,0.19,1,Brasil,63,IPCA - Variação mensal,199906,junho 1999
1,Brasil,2,%,1.09,1,Brasil,63,IPCA - Variação mensal,199907,julho 1999
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,199908,agosto 1999
1,Brasil,2,%,0.31,1,Brasil,63,IPCA - Variação mensal,199909,setembro 1999
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,199910,outubro 1999
1,Brasil,2,%,0.95,1,Brasil,63,IPCA - Variação mensal,199911,novembro 1999
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,199912,dezembro 1999
1,Brasil,2,%,0.62,1,Brasil,63,IPCA - Variação mensal,200001,janeiro 2000
1,Brasil,2,%,0.13,1,Brasil,63,IPCA - Variação mensal,200002,fevereiro 2000
